session_start,session_type,session_dow,leg,strike,option_type,position,entry_price,expiry,contracts,spot_at_expiry,exit_price,pnl
2023-11-09 08:00:00+00:00,weekday,thursday,atm_call,36750.0,C,short,0.0095,2023-11-10 08:00:00+00:00,1,36518.28,0.0,346.92366
2023-11-09 08:00:00+00:00,weekday,thursday,atm_put,36750.0,P,short,0.0125,2023-11-10 08:00:00+00:00,1,36518.28,231.72000000000116,224.75849999999883
2023-11-09 08:00:00+00:00,weekday,thursday,otm_call,42000.0,C,long,0.0003,2023-11-10 08:00:00+00:00,1,36518.28,0.0,-10.955483999999998
2023-11-09 08:00:00+00:00,weekday,thursday,otm_put,32000.0,P,long,0.0002,2023-11-10 08:00:00+00:00,1,36518.28,0.0,-7.303656
2023-12-01 08:00:00+00:00,weekday,friday,atm_call,38250.0,C,short,0.0175,2023-12-02 08:00:00+00:00,1,38731.63,481.6299999999974,196.17352500000266
2023-12-01 08:00:00+00:00,weekday,friday,atm_put,38250.0,P,short,0.0055,2023-12-02 08:00:00+00:00,1,38731.63,0.0,213.02396499999998
2023-12-01 08:00:00+00:00,weekday,friday,otm_call,43000.0,C,long,0.0002,2023-12-02 08:00:00+00:00,1,38731.63,0.0,-7.746326
2023-12-01 08:00:00+00:00,weekday,friday,otm_put,35500.0,P,long,0.0001,2023-12-02 08:00:00+00:00,1,38731.63,0.0,-3.873163
2023-12-07 08:00:00+00:00,weekday,thursday,atm_call,43500.0,C,short,0.0055,2023-12-08 08:00:00+00:00,1,43215.81,0.0,237.68695499999998
2023-12-07 08:00:00+00:00,weekday,thursday,atm_put,43500.0,P,short,0.016,2023-12-08 08:00:00+00:00,1,43215.81,284.1900000000023,407.26295999999763
2023-12-07 08:00:00+00:00,weekday,thursday,otm_call,50000.0,C,long,0.0001,2023-12-08 08:00:00+00:00,1,43215.81,0.0,-4.321581
2023-12-07 08:00:00+00:00,weekday,thursday,otm_put,37000.0,P,long,0.0001,2023-12-08 08:00:00+00:00,1,43215.81,0.0,-4.321581
2023-12-30 08:00:00+00:00,weekend,saturday,atm_call,41500.0,C,short,0.0095,2023-12-31 08:00:00+00:00,1,42456.66,956.6600000000035,-553.3217300000035
2023-12-30 08:00:00+00:00,weekend,saturday,atm_put,41500.0,P,short,0.0049,2023-12-31 08:00:00+00:00,1,42456.66,0.0,208.037634
2023-12-30 08:00:00+00:00,weekend,saturday,otm_call,44250.0,C,long,0.0001,2023-12-31 08:00:00+00:00,1,42456.66,0.0,-4.245666000000001
2023-12-30 08:00:00+00:00,weekend,saturday,otm_put,39500.0,P,long,0.0003,2023-12-31 08:00:00+00:00,1,42456.66,0.0,-12.736998
2024-01-05 08:00:00+00:00,weekday,friday,atm_call,44000.0,C,short,0.0145,2024-01-06 08:00:00+00:00,1,43736.14,0.0,634.17403
2024-01-05 08:00:00+00:00,weekday,friday,atm_put,44000.0,P,short,0.0135,2024-01-06 08:00:00+00:00,1,43736.14,263.8600000000006,326.57788999999946
2024-01-05 08:00:00+00:00,weekday,friday,otm_call,50500.0,C,long,0.0004,2024-01-06 08:00:00+00:00,1,43736.14,0.0,-17.494456
2024-01-05 08:00:00+00:00,weekday,friday,otm_put,37500.0,P,long,0.0002,2024-01-06 08:00:00+00:00,1,43736.14,0.0,-8.747228
2024-01-06 08:00:00+00:00,weekend,saturday,atm_call,43750.0,C,short,0.006,2024-01-07 08:00:00+00:00,1,44046.42,296.41999999999825,-32.14147999999824
2024-01-06 08:00:00+00:00,weekend,saturday,atm_put,43750.0,P,short,0.0085,2024-01-07 08:00:00+00:00,1,44046.42,0.0,374.39457
2024-01-06 08:00:00+00:00,weekend,saturday,otm_call,48000.0,C,long,0.0001,2024-01-07 08:00:00+00:00,1,44046.42,0.0,-4.404642
2024-01-06 08:00:00+00:00,weekend,saturday,otm_put,40000.0,P,long,0.0001,2024-01-07 08:00:00+00:00,1,44046.42,0.0,-4.404642
2024-01-07 08:00:00+00:00,weekend,sunday,atm_call,44000.0,C,short,0.0095,2024-01-08 08:00:00+00:00,1,43886.18,0.0,416.91871
2024-01-07 08:00:00+00:00,weekend,sunday,atm_put,44000.0,P,short,0.0055,2024-01-08 08:00:00+00:00,1,43886.18,113.81999999999971,127.55399000000028
2024-01-07 08:00:00+00:00,weekend,sunday,otm_call,50500.0,C,long,0.0001,2024-01-08 08:00:00+00:00,1,43886.18,0.0,-4.388618
2024-01-07 08:00:00+00:00,weekend,sunday,otm_put,39000.0,P,long,0.0001,2024-01-08 08:00:00+00:00,1,43886.18,0.0,-4.388618
2024-01-08 08:00:00+00:00,weekday,monday,atm_call,44000.0,C,short,0.013,2024-01-09 08:00:00+00:00,1,46573.46,2573.459999999999,-1968.0050199999991
2024-01-08 08:00:00+00:00,weekday,monday,atm_put,44000.0,P,short,0.0155,2024-01-09 08:00:00+00:00,1,46573.46,0.0,721.88863
2024-01-08 08:00:00+00:00,weekday,monday,otm_call,50500.0,C,long,0.0003,2024-01-09 08:00:00+00:00,1,46573.46,0.0,-13.972037999999998
2024-01-08 08:00:00+00:00,weekday,monday,otm_put,38500.0,P,long,0.0003,2024-01-09 08:00:00+00:00,1,46573.46,0.0,-13.972037999999998
2024-01-10 08:00:00+00:00,weekday,wednesday,atm_call,45250.0,C,short,0.0235,2024-01-11 08:00:00+00:00,1,46281.31,1031.3099999999977,56.30078500000218
2024-01-10 08:00:00+00:00,weekday,wednesday,atm_put,45250.0,P,short,0.019,2024-01-11 08:00:00+00:00,1,46281.31,0.0,879.34489
2024-01-10 08:00:00+00:00,weekday,wednesday,otm_call,52000.0,C,long,0.0007,2024-01-11 08:00:00+00:00,1,46281.31,0.0,-32.396916999999995
2024-01-10 08:00:00+00:00,weekday,wednesday,otm_put,39000.0,P,long,0.0022,2024-01-11 08:00:00+00:00,1,46281.31,0.0,-101.818882
2024-01-21 08:00:00+00:00,weekend,sunday,atm_call,41750.0,C,short,0.0055,2024-01-22 08:00:00+00:00,1,40919.06,0.0,225.05482999999998
2024-01-21 08:00:00+00:00,weekend,sunday,atm_put,41500.0,P,short,0.005,2024-01-22 08:00:00+00:00,1,40919.06,580.9400000000023,-376.3447000000024
2024-01-21 08:00:00+00:00,weekend,sunday,otm_call,44000.0,C,long,0.0001,2024-01-22 08:00:00+00:00,1,40919.06,0.0,-4.091906
2024-01-21 08:00:00+00:00,weekend,sunday,otm_put,38000.0,P,long,0.0001,2024-01-22 08:00:00+00:00,1,40919.06,0.0,-4.091906
2024-02-28 08:00:00+00:00,weekday,wednesday,atm_call,59500.0,C,short,0.0125,2024-02-29 08:00:00+00:00,1,62815.14,3315.1399999999994,-2529.9507499999995
2024-02-28 08:00:00+00:00,weekday,wednesday,atm_put,59500.0,P,short,0.018,2024-02-29 08:00:00+00:00,1,62815.14,0.0,1130.6725199999998
2024-02-28 08:00:00+00:00,weekday,wednesday,otm_call,67000.0,C,long,0.0003,2024-02-29 08:00:00+00:00,1,62815.14,0.0,-18.844541999999997
